column,psi
apply_month,8.155421993422992
ip_risk_level_mean,0.04633887379055282
emulator_rate,0.041625525098091115
login_7d,0.027330363530776662
ip_risk_level_max,0.021083853434532937
gender,0.017477474039563283
education,0.014006062835453591
apply_dayofweek,0.013175304253248468
delinq_12m,0.013043670075092426
open_accounts,0.013014066584883185
residence_years,0.012419622722322757
inquiry_3m,0.012082656883000973
emergency_contact_count,0.009901946373382063
emulator_any,0.008359408315774761
brand_nunique,0.008009712593069087
city_tier,0.006331735081738384
channel,0.006150407070871465
geo_consistent_rate,0.00596868871073168
requested_term,0.005893888542626256
android_share,0.004164656019206248
marital_status,0.004078867381602842
company_type,0.0038964832107342903
rooted_rate,0.0033660367528524984
device_cnt,0.002710554729726875
device_count,0.002710554729726875
product_type,0.0008803924482626239
device_change_90d,0.0007422476576360148
rooted_any,0.0006370804398245943
has_credit_card,3.614693737182997e-06
